agency,price,location,link,bedrooms,bathrooms,area
Personal Property,1.2 Crore,"New Shalimar Colony, Multan",https://www.zameen.com/Property/multan_new_shalimar_colony_4_marla_double-story_house_for_sale_ideal_family_home-52313974-12124-1.html,3,4,4 Marla
Personal Property,4.2 Crore,"DHA Phase 1 - Sector H, DHA Phase 1",https://www.zameen.com/Property/dha_phase_1_dha_phase_1_-_sector_h_brand_new_luxury_house_available_for_sale-52307018-14307-1.html,7,6,1 Kanal
Personal Property,3.2 Crore,"Buch Executive Villas Extension, Buch Executive Villas",https://www.zameen.com/Property/buch_executive_villas_buch_executive_villas_extension_8_30_marla_corner_park_facing_luxury_house_for_sale_in_buch_villas-52302720-19721-1.html,6,6,8.3 Marla
Personal Property,1.95 Crore,"Buch Executive Villas, Multan",https://www.zameen.com/Property/multan_buch_executive_villas_owner_built_5_marla_triple_storey_house_for_sale_buch_executive_villas_multan-52167393-8627-1.html,4,6,5 Marla
Personal Property,2 Crore,"DHA Villas, DHA Defence",https://www.zameen.com/Property/dha_defence_dha_villas_05_marla_house_available_for_sale_on_easy_installment_now_you_can_enjoy_luxury_living_only_in_dha_multan-52232419-14018-1.html,3,3,5 Marla
Personal Property,7.45 Crore,"Wapda Town Phase 1 - Block A, Wapda Town Phase 1",https://www.zameen.com/Property/wapda_town_phase_1_wapda_town_phase_1_-_block_a_1_kanal_corner_brand_new_spanish_house_available_for_sale-50671185-5822-1.html,6,6,1 Kanal
Personal Property,3.5 Crore,"Royal Orchard - Block C, Royal Orchard",https://www.zameen.com/Property/royal_orchard_royal_orchard_-_block_c_corner_house_11_marla_brand_new_house_near_park-52187888-9496-1.html,5,6,11 Marla
Personal Property,2.6 Crore,"Fatima Jinnah Town - Block A, Fatima Jinnah Town",https://www.zameen.com/Property/fatima_jinnah_town_fatima_jinnah_town_-_block_a_on_excellent_location_10_marla_house_in_fatima_jinnah_town_-_block_a_for_sale_at_good_location-52185189-5723-1.html,4,5,10 Marla
Personal Property,3.8 Crore,"Royal Orchard - Block C, Royal Orchard",https://www.zameen.com/Property/royal_orchard_royal_orchard_-_block_c_10_marla_furnished_house_for_sale_iqbal_boulevard-52304715-9496-1.html,5,7,10 Marla
Personal Property,2.05 Crore,"Askari 3, DHA Defence",https://www.zameen.com/Property/dha_defence_askari_3_unoccupied_house_of_6_marla_is_available_for_sale_in_dha_defence-52314424-17156-1.html,3,4,6 Marla
